Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
SCIENTEX SUNGAI DUA,Tasek Gelugor,Penang,Freehold,Terrace House,331800.0,304.0,593
BANDAR PUTRA,Kulai,Johor,Freehold,"Cluster House, Terrace House",590900.0,322.0,519
TAMAN LAGENDA TROPIKA TAPAH,Chenderiang,Perak,Freehold,Terrace House,229954.0,130.0,414
SCIENTEX JASIN MUTIARA,Bemban,Melaka,Freehold,Terrace House,255600.0,218.0,391
TAMAN LAGENDA AMAN,Tapah,Perak,Leasehold,Terrace House,219300.0,168.0,363
TAMAN IMPIAN EMAS,Tebrau,Johor,Freehold,"Terrace House, Semi D",738000.0,328.0,349
TAMAN KOTA MASAI,Pasir Gudang,Johor,Freehold,Terrace House,345000.0,323.0,319
TAMAN LAGENDA TELUK INTAN,Teluk Intan,Perak,Leasehold,"Terrace House, Cluster House",236594.0,126.0,309
BANDAR SCIENTEX JASIN,Jasin,Melaka,Freehold,Terrace House,180000.0,188.0,301
BANDAR BUKIT RAJA,Kapar,Selangor,Freehold,Terrace House,793888.0,496.0,292
TAMAN IMPIANA KESANG,Bemban,Melaka,Leasehold,Terrace House,128730.0,92.0,288
TAMAN BUKIT INDAH,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,695000.0,425.0,259
TAMAN NUSA SERI CENGAL 2 & 3,Nilai,Negeri Sembilan,Leasehold,Terrace House,359000.0,194.0,210
BANDAR DATO' ONN,Tebrau,Johor,Freehold,"Terrace House, Semi D",750000.0,450.0,203
TAMAN UNIVERSITI,Skudai,Johor,Freehold,Terrace House,394000.0,307.0,202
TAMAN JOHOR JAYA,Johor Bahru,Johor,Freehold,Terrace House,450000.0,326.0,195
TAMAN PUTERA INDAH,Batu Pahat,Johor,Freehold,"Terrace House, Cluster House",400000.0,214.0,193
TAMAN KIRANA,Kluang,Johor,Leasehold,Terrace House,170800.0,125.0,188
TAMAN BESTARI INDAH,Ulu Tiram,Johor,Freehold,Terrace House,832000.0,471.0,184
TAMAN MUTIARA RINI,Skudai,Johor,Leasehold,Terrace House,672000.0,396.0,183
TAMAN BUKIT PERDANA,Kluang,Johor,Freehold,Cluster House,343400.0,140.0,181
